# Assembly name:  ASM292461v1
# Organism name:  Petrotoga halophila DSM 16923 (bacteria)
# Infraspecific name:  strain=DSM 16923
# Taxid:          1122953
# BioSample:      SAMN03351426
# BioProject:     PRJNA233614
# Submitter:      University of Alberta
# Date:           2018-02-08
# Assembly type:  na
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    JALY01
# Assembly method: CLC NGS Cell v. 6
# Expected final version: no
# Genome coverage: 100.0x
# Sequencing technology: Illumina MiSeq
# Relation to type material: assembly from type material
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_002924615.1
# RefSeq assembly accession: GCF_002924615.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002924655.1	GCF_002924655.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
P-halophila_contig_285	unplaced-scaffold	na	na	JALY01000083.1	=	NZ_JALY01000083.1	Primary Assembly	6171	na
P-halophila_contig_286	unplaced-scaffold	na	na	JALY01000325.1	=	NZ_JALY01000325.1	Primary Assembly	1980	na
P-halophila_contig_287	unplaced-scaffold	na	na	JALY01000280.1	=	NZ_JALY01000280.1	Primary Assembly	1777	na
P-halophila_contig_288	unplaced-scaffold	na	na	JALY01000326.1	=	NZ_JALY01000326.1	Primary Assembly	2550	na
P-halophila_contig_289	unplaced-scaffold	na	na	JALY01000327.1	=	NZ_JALY01000327.1	Primary Assembly	1632	na
P-halophila_contig_29	unplaced-scaffold	na	na	JALY01000127.1	=	NZ_JALY01000127.1	Primary Assembly	22297	na
P-halophila_contig_290	unplaced-scaffold	na	na	JALY01000061.1	=	NZ_JALY01000061.1	Primary Assembly	1664	na
P-halophila_contig_291	unplaced-scaffold	na	na	JALY01000222.1	=	NZ_JALY01000222.1	Primary Assembly	7646	na
P-halophila_contig_292	unplaced-scaffold	na	na	JALY01000176.1	=	NZ_JALY01000176.1	Primary Assembly	4583	na
P-halophila_contig_293	unplaced-scaffold	na	na	JALY01000328.1	=	NZ_JALY01000328.1	Primary Assembly	2183	na
P-halophila_contig_294	unplaced-scaffold	na	na	JALY01000291.1	=	NZ_JALY01000291.1	Primary Assembly	5538	na
P-halophila_contig_295	unplaced-scaffold	na	na	JALY01000274.1	=	NZ_JALY01000274.1	Primary Assembly	4223	na
P-halophila_contig_296	unplaced-scaffold	na	na	JALY01000182.1	=	NZ_JALY01000182.1	Primary Assembly	2031	na
P-halophila_contig_297	unplaced-scaffold	na	na	JALY01000329.1	=	NZ_JALY01000329.1	Primary Assembly	1031	na
P-halophila_contig_298	unplaced-scaffold	na	na	JALY01000330.1	=	NZ_JALY01000330.1	Primary Assembly	2112	na
P-halophila_contig_299	unplaced-scaffold	na	na	JALY01000250.1	=	NZ_JALY01000250.1	Primary Assembly	3808	na
P-halophila_contig_3	unplaced-scaffold	na	na	JALY01000209.1	=	NZ_JALY01000209.1	Primary Assembly	15352	na
P-halophila_contig_30	unplaced-scaffold	na	na	JALY01000211.1	=	NZ_JALY01000211.1	Primary Assembly	19572	na
P-halophila_contig_300	unplaced-scaffold	na	na	JALY01000178.1	=	NZ_JALY01000178.1	Primary Assembly	2487	na
P-halophila_contig_301	unplaced-scaffold	na	na	JALY01000203.1	=	NZ_JALY01000203.1	Primary Assembly	4214	na
P-halophila_contig_302	unplaced-scaffold	na	na	JALY01000202.1	=	NZ_JALY01000202.1	Primary Assembly	4268	na
P-halophila_contig_303	unplaced-scaffold	na	na	JALY01000331.1	=	NZ_JALY01000331.1	Primary Assembly	2428	na
P-halophila_contig_304	unplaced-scaffold	na	na	JALY01000264.1	=	NZ_JALY01000264.1	Primary Assembly	2311	na
P-halophila_contig_305	unplaced-scaffold	na	na	JALY01000014.1	=	NZ_JALY01000014.1	Primary Assembly	2976	na
P-halophila_contig_306	unplaced-scaffold	na	na	JALY01000181.1	=	NZ_JALY01000181.1	Primary Assembly	2487	na
P-halophila_contig_307	unplaced-scaffold	na	na	JALY01000228.1	=	NZ_JALY01000228.1	Primary Assembly	2299	na
P-halophila_contig_308	unplaced-scaffold	na	na	JALY01000332.1	=	NZ_JALY01000332.1	Primary Assembly	1574	na
P-halophila_contig_309	unplaced-scaffold	na	na	JALY01000333.1	=	NZ_JALY01000333.1	Primary Assembly	2435	na
P-halophila_contig_31	unplaced-scaffold	na	na	JALY01000030.1	=	NZ_JALY01000030.1	Primary Assembly	7935	na
P-halophila_contig_310	unplaced-scaffold	na	na	JALY01000288.1	=	NZ_JALY01000288.1	Primary Assembly	1233	na
P-halophila_contig_311	unplaced-scaffold	na	na	JALY01000163.1	=	NZ_JALY01000163.1	Primary Assembly	1580	na
P-halophila_contig_312	unplaced-scaffold	na	na	JALY01000074.1	=	NZ_JALY01000074.1	Primary Assembly	1426	na
P-halophila_contig_313	unplaced-scaffold	na	na	JALY01000334.1	=	NZ_JALY01000334.1	Primary Assembly	1426	na
P-halophila_contig_314	unplaced-scaffold	na	na	JALY01000152.1	=	NZ_JALY01000152.1	Primary Assembly	1485	na
P-halophila_contig_315	unplaced-scaffold	na	na	JALY01000048.1	=	NZ_JALY01000048.1	Primary Assembly	1430	na
P-halophila_contig_316	unplaced-scaffold	na	na	JALY01000335.1	=	NZ_JALY01000335.1	Primary Assembly	1243	na
P-halophila_contig_317	unplaced-scaffold	na	na	JALY01000207.1	=	NZ_JALY01000207.1	Primary Assembly	2541	na
P-halophila_contig_318	unplaced-scaffold	na	na	JALY01000336.1	=	NZ_JALY01000336.1	Primary Assembly	9278	na
P-halophila_contig_319	unplaced-scaffold	na	na	JALY01000123.1	=	NZ_JALY01000123.1	Primary Assembly	1185	na
P-halophila_contig_32	unplaced-scaffold	na	na	JALY01000199.1	=	NZ_JALY01000199.1	Primary Assembly	18036	na
P-halophila_contig_320	unplaced-scaffold	na	na	JALY01000130.1	=	NZ_JALY01000130.1	Primary Assembly	4883	na
P-halophila_contig_321	unplaced-scaffold	na	na	JALY01000337.1	=	NZ_JALY01000337.1	Primary Assembly	2265	na
P-halophila_contig_322	unplaced-scaffold	na	na	JALY01000338.1	=	NZ_JALY01000338.1	Primary Assembly	1584	na
P-halophila_contig_323	unplaced-scaffold	na	na	JALY01000072.1	=	NZ_JALY01000072.1	Primary Assembly	2576	na
P-halophila_contig_324	unplaced-scaffold	na	na	JALY01000284.1	=	NZ_JALY01000284.1	Primary Assembly	1601	na
P-halophila_contig_325	unplaced-scaffold	na	na	JALY01000076.1	=	NZ_JALY01000076.1	Primary Assembly	1609	na
P-halophila_contig_326	unplaced-scaffold	na	na	JALY01000339.1	=	NZ_JALY01000339.1	Primary Assembly	2435	na
P-halophila_contig_327	unplaced-scaffold	na	na	JALY01000118.1	=	NZ_JALY01000118.1	Primary Assembly	2225	na
P-halophila_contig_328	unplaced-scaffold	na	na	JALY01000340.1	=	NZ_JALY01000340.1	Primary Assembly	1063	na
P-halophila_contig_329	unplaced-scaffold	na	na	JALY01000004.1	=	NZ_JALY01000004.1	Primary Assembly	1571	na
P-halophila_contig_33	unplaced-scaffold	na	na	JALY01000153.1	=	NZ_JALY01000153.1	Primary Assembly	15526	na
P-halophila_contig_330	unplaced-scaffold	na	na	JALY01000341.1	=	NZ_JALY01000341.1	Primary Assembly	3112	na
P-halophila_contig_331	unplaced-scaffold	na	na	JALY01000342.1	=	NZ_JALY01000342.1	Primary Assembly	1210	na
P-halophila_contig_332	unplaced-scaffold	na	na	JALY01000040.1	=	NZ_JALY01000040.1	Primary Assembly	1123	na
P-halophila_contig_333	unplaced-scaffold	na	na	JALY01000343.1	=	NZ_JALY01000343.1	Primary Assembly	1813	na
P-halophila_contig_334	unplaced-scaffold	na	na	JALY01000344.1	=	NZ_JALY01000344.1	Primary Assembly	2361	na
P-halophila_contig_335	unplaced-scaffold	na	na	JALY01000270.1	=	NZ_JALY01000270.1	Primary Assembly	2651	na
P-halophila_contig_336	unplaced-scaffold	na	na	JALY01000345.1	=	NZ_JALY01000345.1	Primary Assembly	1084	na
P-halophila_contig_337	unplaced-scaffold	na	na	JALY01000346.1	=	NZ_JALY01000346.1	Primary Assembly	3540	na
P-halophila_contig_338	unplaced-scaffold	na	na	JALY01000347.1	=	NZ_JALY01000347.1	Primary Assembly	1096	na
P-halophila_contig_339	unplaced-scaffold	na	na	JALY01000279.1	=	NZ_JALY01000279.1	Primary Assembly	1013	na
P-halophila_contig_34	unplaced-scaffold	na	na	JALY01000177.1	=	NZ_JALY01000177.1	Primary Assembly	55918	na
P-halophila_contig_340	unplaced-scaffold	na	na	JALY01000095.1	=	NZ_JALY01000095.1	Primary Assembly	3686	na
P-halophila_contig_341	unplaced-scaffold	na	na	JALY01000348.1	=	NZ_JALY01000348.1	Primary Assembly	1004	na
P-halophila_contig_342	unplaced-scaffold	na	na	JALY01000204.1	=	NZ_JALY01000204.1	Primary Assembly	1152	na
P-halophila_contig_343	unplaced-scaffold	na	na	JALY01000143.1	=	NZ_JALY01000143.1	Primary Assembly	1485	na
P-halophila_contig_344	unplaced-scaffold	na	na	JALY01000220.1	=	NZ_JALY01000220.1	Primary Assembly	2704	na
P-halophila_contig_345	unplaced-scaffold	na	na	JALY01000349.1	=	NZ_JALY01000349.1	Primary Assembly	1057	na
P-halophila_contig_346	unplaced-scaffold	na	na	JALY01000252.1	=	NZ_JALY01000252.1	Primary Assembly	2680	na
P-halophila_contig_347	unplaced-scaffold	na	na	JALY01000350.1	=	NZ_JALY01000350.1	Primary Assembly	2558	na
P-halophila_contig_348	unplaced-scaffold	na	na	JALY01000351.1	=	NZ_JALY01000351.1	Primary Assembly	3184	na
P-halophila_contig_349	unplaced-scaffold	na	na	JALY01000142.1	=	NZ_JALY01000142.1	Primary Assembly	1016	na
P-halophila_contig_35	unplaced-scaffold	na	na	JALY01000273.1	=	NZ_JALY01000273.1	Primary Assembly	2683	na
P-halophila_contig_350	unplaced-scaffold	na	na	JALY01000352.1	=	NZ_JALY01000352.1	Primary Assembly	1660	na
P-halophila_contig_351	unplaced-scaffold	na	na	JALY01000021.1	=	NZ_JALY01000021.1	Primary Assembly	1620	na
P-halophila_contig_352	unplaced-scaffold	na	na	JALY01000353.1	=	NZ_JALY01000353.1	Primary Assembly	1069	na
P-halophila_contig_353	unplaced-scaffold	na	na	JALY01000090.1	=	NZ_JALY01000090.1	Primary Assembly	1069	na
P-halophila_contig_354	unplaced-scaffold	na	na	JALY01000354.1	=	NZ_JALY01000354.1	Primary Assembly	2642	na
P-halophila_contig_355	unplaced-scaffold	na	na	JALY01000355.1	=	NZ_JALY01000355.1	Primary Assembly	1048	na
P-halophila_contig_356	unplaced-scaffold	na	na	JALY01000356.1	=	NZ_JALY01000356.1	Primary Assembly	1493	na
P-halophila_contig_357	unplaced-scaffold	na	na	JALY01000357.1	=	NZ_JALY01000357.1	Primary Assembly	1968	na
P-halophila_contig_358	unplaced-scaffold	na	na	JALY01000358.1	=	NZ_JALY01000358.1	Primary Assembly	3285	na
P-halophila_contig_36	unplaced-scaffold	na	na	JALY01000165.1	=	NZ_JALY01000165.1	Primary Assembly	21007	na
P-halophila_contig_37	unplaced-scaffold	na	na	JALY01000151.1	=	NZ_JALY01000151.1	Primary Assembly	3235	na
P-halophila_contig_38	unplaced-scaffold	na	na	JALY01000138.1	=	NZ_JALY01000138.1	Primary Assembly	73155	na
P-halophila_contig_39	unplaced-scaffold	na	na	JALY01000254.1	=	NZ_JALY01000254.1	Primary Assembly	47490	na
P-halophila_contig_4	unplaced-scaffold	na	na	JALY01000105.1	=	NZ_JALY01000105.1	Primary Assembly	36160	na
P-halophila_contig_40	unplaced-scaffold	na	na	JALY01000198.1	=	NZ_JALY01000198.1	Primary Assembly	3848	na
P-halophila_contig_41	unplaced-scaffold	na	na	JALY01000179.1	=	NZ_JALY01000179.1	Primary Assembly	21233	na
P-halophila_contig_42	unplaced-scaffold	na	na	JALY01000219.1	=	NZ_JALY01000219.1	Primary Assembly	15741	na
P-halophila_contig_43	unplaced-scaffold	na	na	JALY01000117.1	=	NZ_JALY01000117.1	Primary Assembly	10690	na
P-halophila_contig_44	unplaced-scaffold	na	na	JALY01000133.1	=	NZ_JALY01000133.1	Primary Assembly	3361	na
P-halophila_contig_45	unplaced-scaffold	na	na	JALY01000287.1	=	NZ_JALY01000287.1	Primary Assembly	1558	na
P-halophila_contig_46	unplaced-scaffold	na	na	JALY01000009.1	=	NZ_JALY01000009.1	Primary Assembly	1720	na
P-halophila_contig_47	unplaced-scaffold	na	na	JALY01000008.1	=	NZ_JALY01000008.1	Primary Assembly	9667	na
P-halophila_contig_48	unplaced-scaffold	na	na	JALY01000295.1	=	NZ_JALY01000295.1	Primary Assembly	1155	na
P-halophila_contig_49	unplaced-scaffold	na	na	JALY01000059.1	=	NZ_JALY01000059.1	Primary Assembly	32202	na
P-halophila_contig_5	unplaced-scaffold	na	na	JALY01000235.1	=	NZ_JALY01000235.1	Primary Assembly	6411	na
P-halophila_contig_50	unplaced-scaffold	na	na	JALY01000255.1	=	NZ_JALY01000255.1	Primary Assembly	1694	na
P-halophila_contig_51	unplaced-scaffold	na	na	JALY01000100.1	=	NZ_JALY01000100.1	Primary Assembly	14422	na
P-halophila_contig_52	unplaced-scaffold	na	na	JALY01000047.1	=	NZ_JALY01000047.1	Primary Assembly	5048	na
P-halophila_contig_53	unplaced-scaffold	na	na	JALY01000186.1	=	NZ_JALY01000186.1	Primary Assembly	10314	na
P-halophila_contig_54	unplaced-scaffold	na	na	JALY01000131.1	=	NZ_JALY01000131.1	Primary Assembly	65856	na
P-halophila_contig_55	unplaced-scaffold	na	na	JALY01000206.1	=	NZ_JALY01000206.1	Primary Assembly	15704	na
P-halophila_contig_56	unplaced-scaffold	na	na	JALY01000262.1	=	NZ_JALY01000262.1	Primary Assembly	7549	na
P-halophila_contig_57	unplaced-scaffold	na	na	JALY01000137.1	=	NZ_JALY01000137.1	Primary Assembly	2917	na
P-halophila_contig_58	unplaced-scaffold	na	na	JALY01000136.1	=	NZ_JALY01000136.1	Primary Assembly	2314	na
P-halophila_contig_59	unplaced-scaffold	na	na	JALY01000051.1	=	NZ_JALY01000051.1	Primary Assembly	4726	na
P-halophila_contig_6	unplaced-scaffold	na	na	JALY01000191.1	=	NZ_JALY01000191.1	Primary Assembly	5193	na
P-halophila_contig_60	unplaced-scaffold	na	na	JALY01000050.1	=	NZ_JALY01000050.1	Primary Assembly	9095	na
P-halophila_contig_61	unplaced-scaffold	na	na	JALY01000107.1	=	NZ_JALY01000107.1	Primary Assembly	5738	na
P-halophila_contig_62	unplaced-scaffold	na	na	JALY01000108.1	=	NZ_JALY01000108.1	Primary Assembly	3237	na
P-halophila_contig_63	unplaced-scaffold	na	na	JALY01000011.1	=	NZ_JALY01000011.1	Primary Assembly	29810	na
P-halophila_contig_64	unplaced-scaffold	na	na	JALY01000157.1	=	NZ_JALY01000157.1	Primary Assembly	8161	na
P-halophila_contig_65	unplaced-scaffold	na	na	JALY01000225.1	=	NZ_JALY01000225.1	Primary Assembly	6811	na
P-halophila_contig_66	unplaced-scaffold	na	na	JALY01000180.1	=	NZ_JALY01000180.1	Primary Assembly	15081	na
P-halophila_contig_67	unplaced-scaffold	na	na	JALY01000120.1	=	NZ_JALY01000120.1	Primary Assembly	10616	na
P-halophila_contig_68	unplaced-scaffold	na	na	JALY01000172.1	=	NZ_JALY01000172.1	Primary Assembly	7450	na
P-halophila_contig_69	unplaced-scaffold	na	na	JALY01000171.1	=	NZ_JALY01000171.1	Primary Assembly	25950	na
P-halophila_contig_7	unplaced-scaffold	na	na	JALY01000045.1	=	NZ_JALY01000045.1	Primary Assembly	42516	na
P-halophila_contig_70	unplaced-scaffold	na	na	JALY01000185.1	=	NZ_JALY01000185.1	Primary Assembly	32497	na
P-halophila_contig_71	unplaced-scaffold	na	na	JALY01000167.1	=	NZ_JALY01000167.1	Primary Assembly	12794	na
P-halophila_contig_72	unplaced-scaffold	na	na	JALY01000289.1	=	NZ_JALY01000289.1	Primary Assembly	1659	na
P-halophila_contig_73	unplaced-scaffold	na	na	JALY01000166.1	=	NZ_JALY01000166.1	Primary Assembly	2759	na
P-halophila_contig_74	unplaced-scaffold	na	na	JALY01000139.1	=	NZ_JALY01000139.1	Primary Assembly	22750	na
P-halophila_contig_75	unplaced-scaffold	na	na	JALY01000085.1	=	NZ_JALY01000085.1	Primary Assembly	22770	na
P-halophila_contig_76	unplaced-scaffold	na	na	JALY01000067.1	=	NZ_JALY01000067.1	Primary Assembly	5516	na
P-halophila_contig_77	unplaced-scaffold	na	na	JALY01000078.1	=	NZ_JALY01000078.1	Primary Assembly	3834	na
P-halophila_contig_78	unplaced-scaffold	na	na	JALY01000121.1	=	NZ_JALY01000121.1	Primary Assembly	8924	na
P-halophila_contig_79	unplaced-scaffold	na	na	JALY01000258.1	=	NZ_JALY01000258.1	Primary Assembly	4156	na
P-halophila_contig_8	unplaced-scaffold	na	na	JALY01000293.1	=	NZ_JALY01000293.1	Primary Assembly	1964	na
P-halophila_contig_80	unplaced-scaffold	na	na	JALY01000227.1	=	NZ_JALY01000227.1	Primary Assembly	23187	na
P-halophila_contig_81	unplaced-scaffold	na	na	JALY01000239.1	=	NZ_JALY01000239.1	Primary Assembly	5042	na
P-halophila_contig_82	unplaced-scaffold	na	na	JALY01000232.1	=	NZ_JALY01000232.1	Primary Assembly	9050	na
P-halophila_contig_83	unplaced-scaffold	na	na	JALY01000132.1	=	NZ_JALY01000132.1	Primary Assembly	6770	na
P-halophila_contig_84	unplaced-scaffold	na	na	JALY01000247.1	=	NZ_JALY01000247.1	Primary Assembly	7997	na
P-halophila_contig_85	unplaced-scaffold	na	na	JALY01000044.1	=	NZ_JALY01000044.1	Primary Assembly	36150	na
P-halophila_contig_86	unplaced-scaffold	na	na	JALY01000155.1	=	NZ_JALY01000155.1	Primary Assembly	2172	na
P-halophila_contig_87	unplaced-scaffold	na	na	JALY01000188.1	=	NZ_JALY01000188.1	Primary Assembly	4936	na
P-halophila_contig_88	unplaced-scaffold	na	na	JALY01000246.1	=	NZ_JALY01000246.1	Primary Assembly	13933	na
P-halophila_contig_89	unplaced-scaffold	na	na	JALY01000092.1	=	NZ_JALY01000092.1	Primary Assembly	1343	na
P-halophila_contig_9	unplaced-scaffold	na	na	JALY01000112.1	=	NZ_JALY01000112.1	Primary Assembly	32072	na
P-halophila_contig_90	unplaced-scaffold	na	na	JALY01000093.1	=	NZ_JALY01000093.1	Primary Assembly	7355	na
P-halophila_contig_91	unplaced-scaffold	na	na	JALY01000109.1	=	NZ_JALY01000109.1	Primary Assembly	18169	na
P-halophila_contig_92	unplaced-scaffold	na	na	JALY01000129.1	=	NZ_JALY01000129.1	Primary Assembly	13007	na
P-halophila_contig_93	unplaced-scaffold	na	na	JALY01000159.1	=	NZ_JALY01000159.1	Primary Assembly	4504	na
P-halophila_contig_94	unplaced-scaffold	na	na	JALY01000221.1	=	NZ_JALY01000221.1	Primary Assembly	4129	na
P-halophila_contig_95	unplaced-scaffold	na	na	JALY01000292.1	=	NZ_JALY01000292.1	Primary Assembly	2238	na
P-halophila_contig_96	unplaced-scaffold	na	na	JALY01000189.1	=	NZ_JALY01000189.1	Primary Assembly	1563	na
P-halophila_contig_97	unplaced-scaffold	na	na	JALY01000135.1	=	NZ_JALY01000135.1	Primary Assembly	17613	na
P-halophila_contig_98	unplaced-scaffold	na	na	JALY01000046.1	=	NZ_JALY01000046.1	Primary Assembly	5980	na
P-halophila_contig_99	unplaced-scaffold	na	na	JALY01000080.1	=	NZ_JALY01000080.1	Primary Assembly	23134	na
